"2.5CI","Median","97.5CI"
"1",1707.07033207086,1848.68236476842,1991.03750156568
"2",1707.02609082886,1848.58337426862,1990.91837866701
"3",1706.8949823578,1848.30280295902,1990.56754773199
"4",1706.67938718558,1847.8441960586,1989.99448696988
"5",1706.19524282636,1847.23976945503,1989.20844700393
"6",1705.54893521456,1846.46602145915,1988.27913907697
"7",1704.77365810045,1845.62747296893,1987.08295170152
"8",1703.94266976132,1844.64320374658,1985.66037342575
"9",1703.14010030756,1843.47159384409,1984.11405340712
"10",1701.85787040284,1842.05033492875,1982.32616837562
"11",1700.46266079695,1840.54020965594,1980.515243433
"12",1699.18597431865,1839.0001979668,1978.47788513838
"13",1697.99271291084,1837.20870832317,1976.38316169056
"14",1696.82387860426,1835.38091758916,1974.00007881865
"15",1695.58758133087,1833.42438857336,1971.63224788802
"16",1694.18688256115,1831.45003383518,1969.21102336052
"17",1692.46687113828,1829.36249631421,1966.29951665998
"18",1690.66871773433,1827.22372450558,1963.39354198417
"19",1688.79580868092,1824.85583517049,1960.38906499571
"20",1686.85143097268,1822.47320781541,1957.26186917687
"21",1684.83877320462,1820.15461113463,1954.31521924425
"22",1682.74942957672,1817.61875285662,1951.07422468399
"23",1680.62311927341,1814.956011549,1947.92646462353
"24",1678.56666440371,1812.33849925633,1944.82132617698
"25",1676.49897384517,1809.72162204503,1941.28320482431
"26",1674.11076539448,1806.90842030581,1937.79966948486
"27",1671.74037758276,1804.11466864904,1934.56132869599
"28",1669.57904855439,1801.25456278235,1931.07345849308
"29",1667.47744145883,1798.37000860187,1927.42678807041
"30",1665.36555123877,1795.29551149353,1923.84083240977
"31",1662.66188261841,1792.17932522534,1920.29257744166
"32",1660.41988174783,1789.13971887645,1916.6448909408
"33",1657.89940536262,1786.10114755414,1912.38575492777
"34",1655.38750571531,1783.0059152522,1908.34583980254
"35",1652.79561345343,1779.74863501481,1904.27409794023
"36",1650.20702324075,1776.464576604,1900.46487398338
"37",1647.4929136663,1773.22276019314,1896.86889486095
"38",1644.87413927916,1770.00392531286,1892.57920267165
"39",1642.19095554279,1766.65801118603,1888.07551300488
"40",1639.45899878483,1763.42620253502,1884.23460126264
"41",1636.74875117104,1760.04089007284,1880.35264158555
"42",1633.99357058169,1756.59007424049,1876.59740247718
"43",1630.99622407309,1753.25633011625,1872.58811807134
"44",1628.0367962033,1749.91574822391,1868.38553530179
"45",1625.30940326047,1746.6115698782,1864.31894487576
"46",1622.65988290289,1743.12550606407,1860.6856708799
"47",1619.83350109484,1739.82234660295,1856.67472402203
"48",1617.03288550853,1736.45304413267,1852.82158196993
"49",1614.20907711122,1733.12970221644,1849.0005545294
"50",1611.48952089957,1729.764571618,1845.13978430853
"51",1608.78037089795,1726.28482665647,1841.27098384385
"52",1605.95081404563,1722.83573032073,1837.48952870191
"53",1603.21273394897,1719.45421290031,1833.51437164623
"54",1600.36466996363,1716.13061841439,1829.53172353388
"55",1597.46003786937,1712.77636344882,1825.59394491219
"56",1594.6440702112,1709.33509323252,1821.7443092281
"57",1591.86844841928,1705.95582853299,1817.91517662189
"58",1588.87489051459,1702.5603686252,1813.92362054169
"59",1585.71971869825,1699.19685407021,1809.84708961229
"60",1582.89676162128,1695.89554600677,1805.92930802764
"61",1579.86961249367,1692.54815161541,1802.09212637749
"62",1577.09913068565,1689.13806977479,1798.34726636938
"63",1574.33145981738,1685.80693234235,1794.65565179938
"64",1571.28257070329,1682.4553489734,1790.77780828886
"65",1568.56029270528,1679.03567475567,1786.90696195947
"66",1565.82318573569,1675.65833995186,1783.25360279731
"67",1563.20206106918,1672.27357520195,1779.65416666984
"68",1560.49512966673,1668.8702788208,1776.00256708621
"69",1557.73754528063,1665.67031368504,1772.39341947194
"70",1555.08714312727,1662.25474627403,1768.70794941205
"71",1552.3528218974,1658.8454587029,1765.05176527885
"72",1549.61380355191,1655.56241335385,1761.30369107742
"73",1546.80634392038,1652.2344293547,1757.48586277701
"74",1544.25285368384,1648.9903767633,1753.64892842378
"75",1541.37567819056,1645.85952146607,1749.68100392924
"76",1538.94860559813,1642.53747776115,1745.96839875808
"77",1536.15225009898,1639.2735163402,1742.30787018481
"78",1533.41628012647,1636.06741646536,1738.9335595708
"79",1530.29036061998,1632.83987757268,1735.30006471465
"80",1527.48967847047,1629.61697927551,1731.55107085382
"81",1524.76692835183,1626.33981352091,1728.31690860927
"82",1521.84324605807,1623.11499314768,1724.64994316522
"83",1519.23360680634,1619.9042416828,1721.05367816071
"84",1516.42029898305,1616.66919334779,1717.55288773902
"85",1513.81906115957,1613.53627669751,1713.8646456246
"86",1511.02204313655,1610.45634896328,1710.32028987953
"87",1508.5451210314,1607.27587015137,1707.05689352573
"88",1505.77970486596,1604.08246629425,1703.67977859362
"89",1503.03942683763,1601.00505318328,1700.30733727755
"90",1500.3834160209,1597.90846881336,1696.80304807582
