"Calibration_4","Calibration_5","Calibration_6","DynStim_1","DynStim_2","DynStim_3","DynStim_8","DynStim_9","DynStim_11","DynStim_14"
"Calibration_4",0,2.44481497420294,2.41063887442841,1.04230790847564,1.07441205543976,1.15797635097193,0.930909794235544,4.5826334647887,4.22407805626363,1.55022363529551
"Calibration_5",1.092564899555,0,0.456513992601608,5.00051535254628,1.41126870296327,4.92566370409153,3.81579008386069,5.15874121351965,6.37147542397001,3.07957956854073
"Calibration_6",0.833154733207553,-0.1463914366506,0,1.69079351723411,0.928266218691433,1.72042786288626,0.780376879375556,2.79387230053672,4.07478900887843,3.00188894962678
"DynStim_1",1.09580076364418,1.32420318476576,1.02939907570552,0,3.71946405453131,-0.202660392970069,3.10915558977877,-0.7856323243685,2.86230981266538,6.61302091791516
"DynStim_2",2.44127784008293,1.25528489075506,0.772072309683558,1.77190792406287,0,1.61076457280389,1.52599349498599,3.12137755718199,5.16783044195,5.87267095429709
"DynStim_3",1.39642183622277,2.50775380719227,2.0962687693339,2.41458719066737,3.84698062743054,0,3.4390795405538,0.691954890741524,2.88038907463462,6.85167900456492
"DynStim_8",0.622594788316682,1.48239489780158,1.23247433282832,2.4841787693062,1.15069545587178,2.3353701390936,0,3.82568248720684,5.13604282145595,6.09808283582606
"DynStim_9",1.8152968733153,1.18578020601882,1.13834655288072,1.66370333820346,1.80018776635409,1.51699316695031,1.78708120628728,0,1.22434345817408,0.948601935324189
"DynStim_11",2.16205900465169,3.35734126317509,3.88247118019661,2.8431977076411,3.53593778674935,2.98018376055676,3.47615037665346,4.57405716089187,0,3.85117824023175
"DynStim_14",1.78140542642392,2.77792271682135,3.04291745552403,3.82965280602608,4.91735213152533,3.94891942732254,4.37682139044338,0.959126352219392,2.27923977005966,0
