"2.5CI","Median","97.5CI"
"1",22.7309235318633,26.7413910159493,30.6798039392922
"2",22.8012223668356,26.7781192910205,30.6960678165924
"3",22.867925789797,26.8247695016046,30.7154667625582
"4",22.9492949963763,26.872077380431,30.7362166895634
"5",23.0217114436395,26.9211419684472,30.7638592432797
"6",23.0970192290901,26.9708343488975,30.8066529288526
"7",23.1710151534318,27.0149898531553,30.8355007720978
"8",23.2349101021843,27.0625135694783,30.8580104755181
"9",23.2997657713372,27.1149479868142,30.9085135024629
"10",23.3764319854359,27.1579037831652,30.9423066134651
"11",23.4567266019586,27.2051490189576,30.9760416763409
"12",23.5289698933021,27.2499649141774,31.0095306619338
"13",23.6124356215868,27.2983562681219,31.0440067723012
"14",23.6756803201512,27.3493778430155,31.0763312210033
"15",23.7533340919408,27.4029648773666,31.1182563679614
"16",23.8313593641474,27.4502287706256,31.1471747823611
"17",23.9093468424376,27.4968352158887,31.192637985572
"18",23.9808864334385,27.5415361353719,31.2314558918541
"19",24.0433615818981,27.5874630570314,31.2740493900629
"20",24.1247332072396,27.6401681173265,31.3099025077846
"21",24.195589910004,27.6954379914542,31.3543887932449
"22",24.258018756303,27.7475823845291,31.3900661317548
"23",24.328271831575,27.7983577651758,31.4205382265295
"24",24.3940265093479,27.8502349565217,31.4681996978369
"25",24.4646495179505,27.901574158887,31.5117918633987
"26",24.5194781710275,27.9498185858436,31.5543524486052
"27",24.5938238293003,28.0014047721454,31.5885241190552
"28",24.6542923806403,28.0518913216228,31.6387639892182
"29",24.7277230809626,28.1005126889068,31.6822561155297
"30",24.7909268993364,28.1565721794225,31.7110400597291
"31",24.8589063013806,28.2107113618925,31.7557838855305
"32",24.9301414064736,28.2616634337104,31.8043363179925
"33",24.992831068213,28.3114949123957,31.8489124345081
"34",25.0571181407943,28.3686337326463,31.8898724845386
"35",25.1226265049802,28.422466204374,31.9370516299089
"36",25.1955373691868,28.4793356568957,31.9801058852943
"37",25.2391416053724,28.5315713540589,32.0254563788107
"38",25.2891277307578,28.5895301498272,32.0649451284165
"39",25.3499280772638,28.6426224390823,32.1131689548783
"40",25.4099730881579,28.7016707024263,32.1618441642923
"41",25.4771447229519,28.7584560560013,32.204151584612
"42",25.5472618103284,28.8162241131376,32.249555507204
"43",25.6084986086172,28.8701458343076,32.3008324946037
"44",25.6784408902807,28.9245521567552,32.3499233323403
"45",25.7453548434874,28.9822036308412,32.4092397969927
"46",25.8170120532408,29.0399029532251,32.4573309938425
"47",25.8718789380327,29.1002830362906,32.5043483746707
"48",25.9380653700661,29.1598682022632,32.5685257616362
"49",26.0064987458216,29.219978314507,32.6150030397799
"50",26.0605572276378,29.2823261871575,32.662229090563
"51",26.1296011907392,29.3409607053293,32.7275618845767
"52",26.1900510873624,29.4009091531231,32.786469774634
"53",26.2519347550721,29.4630245838566,32.8440510643664
"54",26.3206234309596,29.5220606836306,32.9129411445354
"55",26.3824325207151,29.5858526079191,32.9735333655126
"56",26.4531559877217,29.6507800519551,33.0357372713228
"57",26.5149645453659,29.7160557318625,33.0964125719181
"58",26.5842143865857,29.7786227323197,33.1598078476965
"59",26.6485797446689,29.8459905088521,33.2300100500012
"60",26.7203655015872,29.9107784900609,33.2986797190961
"61",26.7841139846983,29.9794542877323,33.3595922611278
"62",26.8540119362506,30.0457042244047,33.4357424933613
"63",26.9282310977355,30.1125649782072,33.498396787349
"64",27.0022591651039,30.1810021159869,33.5546368470802
"65",27.0730436089926,30.2525635340111,33.6238951639644
"66",27.1416980881295,30.323374698023,33.6927913113193
"67",27.2070304777531,30.395242834792,33.7645277015634
"68",27.2779315363354,30.4688193234788,33.8362589306097
"69",27.3495776740509,30.5446737877309,33.9042100873766
"70",27.4219854302068,30.6207315095453,33.9843468257368
"71",27.4948905150044,30.6969917224908,34.0511972299673
"72",27.5684823052581,30.7717435616922,34.1401406123645
"73",27.6500857242592,30.8461114373945,34.2061535227638
"74",27.7178553564046,30.925957011023,34.2863490475801
"75",27.7845443877028,31.004879652066,34.3623284165084
"76",27.8510941192892,31.0809887341162,34.4341769096005
"77",27.9184524555721,31.1593081510228,34.5106051282029
"78",27.9860909395092,31.2401039969074,34.5859735410444
"79",28.0623503216536,31.3211365508409,34.672664459615
"80",28.1390169273512,31.3979774094599,34.7465455257743
"81",28.207524461968,31.4783241328034,34.8242574866511
"82",28.2953787141384,31.5602820591213,34.9070362368816
"83",28.3769959933232,31.6450276798235,34.9892952445482
"84",28.4493598088561,31.7265986533403,35.0710005284757
"85",28.5168850137983,31.810423215658,35.149058461111
"86",28.6031356541053,31.8961464133078,35.2301296166325
"87",28.6646485746501,31.9806553601767,35.3117238180626
"88",28.735110078048,32.0625499569795,35.4146699743005
"89",28.8179887387536,32.1489518287394,35.5113650928551
"90",28.901412269994,32.2344783281912,35.6036723070882
"91",28.9766094129776,32.3198627716914,35.6962055526819
"92",29.0489767521805,32.410622284527,35.7900532280138
"93",29.1311890111944,32.498389460959,35.8803060129753
"94",29.2130204102465,32.587312802963,35.982878243147
"95",29.2883484344431,32.6748214979073,36.0978359915994
"96",29.3674191400991,32.7656610455579,36.1963268728091
"97",29.4396405945671,32.8587207196781,36.3073161206815
"98",29.5163381642193,32.9487180387425,36.4192573617839
"99",29.6041793551275,33.0409058187051,36.5165064360715
"100",29.6845107806581,33.1319808296813,36.6014035488938
"101",29.7686152336784,33.2239648462115,36.7052943413421
"102",29.8603519146866,33.3158710758632,36.8115171878176
"103",29.9479202972514,33.4101907814586,36.9157926940375
"104",30.0264713432497,33.5033783072166,37.0085196726662
"105",30.1041674876066,33.5941426452918,37.1083233669511
"106",30.1890688618658,33.6899273506175,37.2142394593207
"107",30.27657878553,33.7841592216723,37.3187211978376
"108",30.3627673209545,33.8795191317406,37.428771641805
"109",30.4501958983853,33.9810445527159,37.5307092010871
"110",30.5236339966185,34.0758882033785,37.6310578657584
"111",30.6106151481278,34.1743362190668,37.7214565741621
"112",30.6917755571878,34.2710023178602,37.8356438489258
"113",30.7792854320669,34.3693942202548,37.9576579604161
"114",30.867129332541,34.4659300129546,38.0705000908981
"115",30.9559390011184,34.5668154195192,38.1776980269355
"116",31.0464617247873,34.6680658852816,38.2929196007791
"117",31.1343040132234,34.7618046273624,38.4089890629503
"118",31.2181624324199,34.8642234693681,38.5174164314318
"119",31.3085019063815,34.9621607303052,38.6321120253695
"120",31.3886548908138,35.0618106198683,38.7518246253916
"121",32.1089179394946,35.8003278980471,39.4881850239651
"122",32.9833514599052,36.6837054816149,40.3606885956441
"123",33.9368538401854,37.6336079366383,41.2910684887192
"124",34.9294711357665,38.6235309764971,42.2524014464975
"125",35.9816243411675,39.6487613735637,43.2596438145159
"126",37.0403216654707,40.6964328213688,44.3134908796427
"127",38.1420105295885,41.7531593140642,45.3493939365974
"128",39.2184614647933,42.8472016168375,46.4067379427662
"129",40.3210967271982,43.9522802049706,47.5019756516563
"130",41.4323442715797,45.0717604805273,48.6049314963629
"131",42.5673895777403,46.199184429295,49.7389281369182
"132",43.6760217344117,47.3553972833761,50.8972017095752
"133",44.8085227541401,48.5206019337975,52.0808816369502
"134",45.9824773712024,49.7101389763827,53.2459245104088
"135",47.15730508649,50.9140940401116,54.4694388948357
"136",48.3649877068021,52.1357494723992,55.6908079503348
"137",49.5792358336241,53.3595072816704,56.9273048814519
"138",50.7870816126468,54.5993325427174,58.1974380727572
"139",52.0413584393336,55.8746880955378,59.4801424351481
"140",53.2729742654588,57.1725874569178,60.8084139682269
"141",54.5273923743436,58.4894667060385,62.1410928547181
"142",55.8121114165598,59.8173905337504,63.5072262105518
"143",57.1281341559628,61.1601105640111,64.900843419746
"144",58.4047046431148,62.5264890358202,66.3335982212635
"145",59.7396332634774,63.9183904947987,67.7807388816385
"146",61.1253457060206,65.3389288313778,69.2571957549226
"147",62.4947235603669,66.781768583322,70.7697942691149
"148",63.8929028401927,68.2541802529845,72.3380051446287
"149",65.3030583361293,69.7521048412133,73.9303127322799
"150",66.7090072154271,71.2622992264337,75.5436105817006
"151",68.1437624224386,72.7945625014413,77.1686836668193
"152",69.5786599288341,74.3557871393264,78.820152367316
"153",71.0639360895766,75.9141924892067,80.5061907305584
"154",72.5034432453628,77.4934668714269,82.2207790779231
"155",73.9813891174288,79.0882868730578,83.949290951747
"156",75.4683788322335,80.6875983736668,85.6499579355942
"157",76.9614442408676,82.2903944651974,87.3753423669416
"158",78.4464798869034,83.8958893430672,89.1124682244836
"159",79.939198628249,85.5151051071928,90.8742068297983
"160",81.4697291582826,87.1334616961371,92.6167815374223
"161",83.0120329800117,88.7592581412067,94.4004225447733
"162",84.5316639977949,90.3916956294917,96.2235240952242
"163",86.0552288707687,92.0281136966795,98.0269343892021
"164",87.5740805403647,93.6764457975594,99.810120308545
"165",89.0846245680986,95.3280314463916,101.584755716824
"166",90.5881193780831,96.9656087821601,103.390638612484
