"Calibration_4","Calibration_5","Calibration_6","DynStim_1","DynStim_2","DynStim_3","DynStim_8","DynStim_9","DynStim_11","DynStim_14"
"Calibration_4",0,4.53212637586711,4.58763262750735,1.87857011688952,1.41858765913766,1.44080576740415,1.20928435971348,4.96907863705243,2.84577498004141,0.972064248465515
"Calibration_5",1.11221852560052,0,0.823558093552429,2.33123384267713,1.85347228050922,1.95568538025052,2.045378642569,3.12289861696138,2.91281908762088,1.49056293323428
"Calibration_6",1.42255397069345,0.819474789757285,0,0.636028616387458,0.608598594644036,0.699078827240912,1.16023200662175,3.60546449472305,2.48278022763599,1.39772431539987
"DynStim_1",2.51014256943805,1.04218766716903,1.20344346417993,0,4.62109615939185,1.13942222942417,3.90175898036821,2.46007741160313,3.47894511255392,5.25388266774698
"DynStim_2",4.46471659356872,2.07850265105133,2.00498985588791,1.81662016790444,0,1.80817151854081,3.20334526850646,3.64613284809984,3.12640306610057,6.43770045963259
"DynStim_3",3.27522043626805,1.81341592912025,1.1186745785175,-0.487590867234301,4.62084942835443,0,3.72222553042665,1.79804406982936,2.35496805777455,4.39206713132245
"DynStim_8",3.87927249782097,1.12031530569783,0.973523253798584,1.56169412389472,2.62834906974606,0.904825730425653,0,2.32430095235625,0.969896730294285,5.06101131646661
"DynStim_9",3.64708149687658,2.65485682990527,2.60641970257533,1.73466865968729,3.97620093875875,2.41862538693179,2.40317674603283,0,2.79519418559673,2.83073357893111
"DynStim_11",3.13654437484396,1.53658734297357,0.728556852855799,3.70065785862998,5.02077108322586,3.72993332260539,4.4892981841297,4.51784408972678,0,3.08510269740752
"DynStim_14",3.02244160954662,3.62012938179597,2.66533960463149,4.49750290564541,5.83163437031338,3.38880373856001,6.02985120888899,2.45231586717855,1.91054430830231,0
