time,IPTGpre,aTcpre,IPTG,aTc
229,0.25,20,0.5,0
230,0.25,20,0.5,0
231,0.25,20,0.5,0
232,0.25,20,0.5,0
233,0.25,20,0.5,0
234,0.25,20,0.5,0
235,0.25,20,0.5,0
236,0.25,20,0.5,0
237,0.25,20,0.5,0
238,0.25,20,0.5,0
239,0.25,20,0,50
240,0.25,20,0,50
241,0.25,20,0,50
242,0.25,20,0,50
243,0.25,20,0,50
244,0.25,20,0,50
245,0.25,20,0,50
246,0.25,20,0,50
247,0.25,20,0,50
248,0.25,20,0,50
249,0.25,20,0,50
250,0.25,20,0,50
251,0.25,20,0,50
252,0.25,20,0,50
253,0.25,20,0,50
254,0.25,20,0.5,0
255,0.25,20,0.5,0
256,0.25,20,0.5,0
257,0.25,20,0.5,0
258,0.25,20,0.5,0
259,0.25,20,0.5,0
260,0.25,20,0.5,0
261,0.25,20,0.5,0
262,0.25,20,0.5,0
263,0.25,20,0.5,0
264,0.25,20,0.5,0
265,0.25,20,0.5,0
266,0.25,20,0.5,0
267,0.25,20,0.5,0
268,0.25,20,0.5,0
269,0.25,20,0.5,0
270,0.25,20,0.5,0
271,0.25,20,0.5,0
272,0.25,20,0.5,0
273,0.25,20,0.5,0
274,0.25,20,0.5,0
275,0.25,20,0.5,0
276,0.25,20,0.5,0
277,0.25,20,0.5,0
278,0.25,20,0.5,0
279,0.25,20,0.5,0
280,0.25,20,0.5,0
281,0.25,20,0.5,0
282,0.25,20,0.5,0
283,0.25,20,0.5,0
284,0.25,20,0.5,0
285,0.25,20,0.5,0
286,0.25,20,0.5,0
287,0.25,20,0.5,0
288,0.25,20,0.5,0
289,0.25,20,0.5,0
290,0.25,20,0.5,0
291,0.25,20,0.5,0
292,0.25,20,0.5,0
293,0.25,20,0.5,0
294,0.25,20,0.5,0
295,0.25,20,0.5,0
296,0.25,20,0.5,0
297,0.25,20,0.5,0
298,0.25,20,0.5,0
299,0.25,20,0.5,0
300,0.25,20,0.5,0
301,0.25,20,0.5,0
302,0.25,20,0.5,0
303,0.25,20,0.5,0
304,0.25,20,0.5,0
305,0.25,20,0.5,0
306,0.25,20,0.5,0
307,0.25,20,0.5,0
308,0.25,20,0.5,0
309,0.25,20,0.5,0
310,0.25,20,0.5,0
311,0.25,20,0.5,0
312,0.25,20,0.5,0
313,0.25,20,0.5,0
314,0.25,20,0.5,0
315,0.25,20,0.5,0
316,0.25,20,0.5,0
317,0.25,20,0.5,0
318,0.25,20,0.5,0
319,0.25,20,0.5,0
320,0.25,20,0.5,0
321,0.25,20,0.5,0
322,0.25,20,0.5,0
323,0.25,20,0.5,0
324,0.25,20,0.5,0
325,0.25,20,0.5,0
326,0.25,20,0.5,0
327,0.25,20,0.5,0
328,0.25,20,0.5,0
329,0.25,20,0,50
330,0.25,20,0,50
331,0.25,20,0,50
332,0.25,20,0,50
333,0.25,20,0,50
334,0.25,20,0,50
335,0.25,20,0,50
336,0.25,20,0,50
337,0.25,20,0,50
338,0.25,20,0,50
339,0.25,20,0,50
340,0.25,20,0,50
341,0.25,20,0,50
342,0.25,20,0,50
343,0.25,20,0,50
344,0.25,20,0.5,0
345,0.25,20,0.5,0
346,0.25,20,0.5,0
347,0.25,20,0.5,0
348,0.25,20,0.5,0
349,0.25,20,0.5,0
350,0.25,20,0.5,0
351,0.25,20,0.5,0
352,0.25,20,0.5,0
353,0.25,20,0.5,0
354,0.25,20,0.5,0
355,0.25,20,0.5,0
356,0.25,20,0.5,0
357,0.25,20,0.5,0
358,0.25,20,0.5,0
359,0.25,20,0.5,0
360,0.25,20,0.5,0
361,0.25,20,0.5,0
362,0.25,20,0.5,0
363,0.25,20,0.5,0
364,0.25,20,0.5,0
365,0.25,20,0.5,0
366,0.25,20,0.5,0
367,0.25,20,0.5,0
368,0.25,20,0.5,0
369,0.25,20,0.5,0
370,0.25,20,0.5,0
371,0.25,20,0.5,0
372,0.25,20,0.5,0
373,0.25,20,0.5,0
374,0.25,20,0.5,0
375,0.25,20,0.5,0
376,0.25,20,0.5,0
377,0.25,20,0.5,0
378,0.25,20,0.5,0
379,0.25,20,0.5,0
380,0.25,20,0.5,0
381,0.25,20,0.5,0
382,0.25,20,0.5,0
383,0.25,20,0.5,0
384,0.25,20,0.5,0
385,0.25,20,0.5,0
386,0.25,20,0.5,0
387,0.25,20,0.5,0
388,0.25,20,0.5,0
389,0.25,20,0.5,0
390,0.25,20,0.5,0
391,0.25,20,0.5,0
392,0.25,20,0.5,0
393,0.25,20,0.5,0
394,0.25,20,0.5,0
395,0.25,20,0.5,0
396,0.25,20,0.5,0
397,0.25,20,0.5,0
398,0.25,20,0.5,0
399,0.25,20,0.5,0
400,0.25,20,0.5,0
401,0.25,20,0.5,0
402,0.25,20,0.5,0
403,0.25,20,0.5,0
404,0.25,20,0.5,0
405,0.25,20,0.5,0
406,0.25,20,0.5,0
407,0.25,20,0.5,0
408,0.25,20,0.5,0
409,0.25,20,0.5,0
410,0.25,20,0.5,0
411,0.25,20,0.5,0
412,0.25,20,0.5,0
413,0.25,20,0.5,0
414,0.25,20,0.5,0
415,0.25,20,0.5,0
416,0.25,20,0.5,0
417,0.25,20,0.5,0
418,0.25,20,0.5,0
419,0.25,20,0,50
420,0.25,20,0,50
421,0.25,20,0,50
422,0.25,20,0,50
423,0.25,20,0,50
424,0.25,20,0,50
425,0.25,20,0,50
426,0.25,20,0,50
427,0.25,20,0,50
428,0.25,20,0,50
429,0.25,20,0,50
430,0.25,20,0,50
431,0.25,20,0,50
432,0.25,20,0,50
433,0.25,20,0,50
434,0.25,20,0.5,0
435,0.25,20,0.5,0
436,0.25,20,0.5,0
437,0.25,20,0.5,0
438,0.25,20,0.5,0
439,0.25,20,0.5,0
440,0.25,20,0.5,0
441,0.25,20,0.5,0
442,0.25,20,0.5,0
443,0.25,20,0.5,0
444,0.25,20,0.5,0
445,0.25,20,0.5,0
446,0.25,20,0.5,0
447,0.25,20,0.5,0
448,0.25,20,0.5,0
449,0.25,20,0.5,0
450,0.25,20,0.5,0
451,0.25,20,0.5,0
452,0.25,20,0.5,0
453,0.25,20,0.5,0
454,0.25,20,0.5,0
455,0.25,20,0.5,0
456,0.25,20,0.5,0
457,0.25,20,0.5,0
458,0.25,20,0.5,0
459,0.25,20,0.5,0
460,0.25,20,0.5,0
461,0.25,20,0.5,0
462,0.25,20,0.5,0
463,0.25,20,0.5,0
464,0.25,20,0.5,0
465,0.25,20,0.5,0
466,0.25,20,0.5,0
467,0.25,20,0.5,0
468,0.25,20,0.5,0
469,0.25,20,0.5,0
470,0.25,20,0.5,0
471,0.25,20,0.5,0
472,0.25,20,0.5,0
