Switchingtimes,FinalTime,IPTGpre,aTcpre,IPTG,aTc
0,900.05,1,0,0,50
5.05,900.05,1,0,0,50
10.05,900.05,1,0,0,50
15.05,900.05,1,0,0,50
20.05,900.05,1,0,0,50
25.05,900.05,1,0,0,50
30.05,900.05,1,0,0,50
35.0666666666667,900.05,1,0,0,50
40.0666666666667,900.05,1,0,0,50
45.0666666666667,900.05,1,0,0,50
50.05,900.05,1,0,0,50
55.0666666666667,900.05,1,0,0,50
60.05,900.05,1,0,0,50
65.0666666666667,900.05,1,0,0,45
70.05,900.05,1,0,0,41
75.0666666666667,900.05,1,0,0,30
80.0666666666667,900.05,1,0,0.38,50
85.05,900.05,1,0,0.38,50
90.0666666666667,900.05,1,0,0.17,50
95.05,900.05,1,0,0.01,0
100.05,900.05,1,0,0.09,12
105.05,900.05,1,0,0.04,5
110.05,900.05,1,0,0,0
115.05,900.05,1,0,0.14,6
120.05,900.05,1,0,0.04,0
125.05,900.05,1,0,0.18,0
130.05,900.05,1,0,0.08,0
135.05,900.05,1,0,0.13,0
140.05,900.05,1,0,0.14,0
145.066666666667,900.05,1,0,0.19,0
150.05,900.05,1,0,0.13,0
155.05,900.05,1,0,0.18,0
160.066666666667,900.05,1,0,0.16,0
165.05,900.05,1,0,0.24,0
170.05,900.05,1,0,0.17,0
175.066666666667,900.05,1,0,0.22,0
180.066666666667,900.05,1,0,0.22,0
185.05,900.05,1,0,0.2,0
190.066666666667,900.05,1,0,0.18,0
195.066666666667,900.05,1,0,0.18,0
200.083333333333,900.05,1,0,0.21,26
205.066666666667,900.05,1,0,0.32,50
210.066666666667,900.05,1,0,0.12,20
215.05,900.05,1,0,0.11,24
220.066666666667,900.05,1,0,0.22,45
225.05,900.05,1,0,0.05,14
230.05,900.05,1,0,0.14,35
235.05,900.05,1,0,0.29,50
240.05,900.05,1,0,0.11,42
245.066666666667,900.05,1,0,0.17,50
250.066666666667,900.05,1,0,0.15,46
255.066666666667,900.05,1,0,0.15,36
260.05,900.05,1,0,0.19,39
265.066666666667,900.05,1,0,0.16,33
270.066666666667,900.05,1,0,0.26,44
275.05,900.05,1,0,0.23,13
280.05,900.05,1,0,0.26,34
285.066666666667,900.05,1,0,0.31,47
290.066666666667,900.05,1,0,0.25,0
295.05,900.05,1,0,0.3,16
300.05,900.05,1,0,0.22,0
305.05,900.05,1,0,0.28,7
310.05,900.05,1,0,0.27,0
315.05,900.05,1,0,0.35,31
320.066666666667,900.05,1,0,0.31,0
325.05,900.05,1,0,0.34,15
330.05,900.05,1,0,0.26,0
335.05,900.05,1,0,0.28,0
340.05,900.05,1,0,0.31,0
345.05,900.05,1,0,0.28,0
350.05,900.05,1,0,0.3,0
355.066666666667,900.05,1,0,0.35,0
360.066666666667,900.05,1,0,0.31,0
365.066666666667,900.05,1,0,0.35,17
370.05,900.05,1,0,0.33,0
375.05,900.05,1,0,0.31,0
380.05,900.05,1,0,0.3,0
385.066666666667,900.05,1,0,0.25,0
390.05,900.05,1,0,0.29,0
395.05,900.05,1,0,0.26,0
400.05,900.05,1,0,0.31,0
405.05,900.05,1,0,0.27,0
410.066666666667,900.05,1,0,0.29,0
415.05,900.05,1,0,0.25,0
420.066666666667,900.05,1,0,0.21,0
425.066666666667,900.05,1,0,0.24,0
430.05,900.05,1,0,0.23,0
435.066666666667,900.05,1,0,0.26,0
440.066666666667,900.05,1,0,0.27,0
445.05,900.05,1,0,0.25,17
450.05,900.05,1,0,0.24,6
455.05,900.05,1,0,0.25,29
460.05,900.05,1,0,0.26,41
465.05,900.05,1,0,0.25,44
470.05,900.05,1,0,0.26,46
475.05,900.05,1,0,0.2,45
480.05,900.05,1,0,0.15,35
485.05,900.05,1,0,0.17,50
490.066666666667,900.05,1,0,0.2,45
495.05,900.05,1,0,0.22,50
500.05,900.05,1,0,0.15,42
505.05,900.05,1,0,0.28,50
510.066666666667,900.05,1,0,0.22,39
515.066666666667,900.05,1,0,0.14,0
520.05,900.05,1,0,0.22,16
525.066666666667,900.05,1,0,0.18,0
530.05,900.05,1,0,0.23,0
535.05,900.05,1,0,0.23,0
540.05,900.05,1,0,0.15,0
545.066666666667,900.05,1,0,0.22,0
550.05,900.05,1,0,0.17,0
555.05,900.05,1,0,0.24,0
560.066666666667,900.05,1,0,0.17,0
