time,IPTGpre,aTcpre,IPTG,aTc
266,1,0,0.48,0
267,1,0,0.48,0
268,1,0,0.48,0
269,1,0,0.48,0
270,1,0,0.48,0
271,1,0,0.48,0
272,1,0,0.48,0
273,1,0,0.48,0
274,1,0,0.48,0
275,1,0,0.48,0
276,1,0,0.48,0
277,1,0,0.48,0
278,1,0,0.48,0
279,1,0,0.49,10
280,1,0,0.49,10
281,1,0,0.49,10
282,1,0,0.49,10
283,1,0,0.49,10
284,1,0,0.48,19
285,1,0,0.48,19
286,1,0,0.48,19
287,1,0,0.48,19
288,1,0,0.48,19
289,1,0,0.5,22
290,1,0,0.5,22
291,1,0,0.5,22
292,1,0,0.5,22
293,1,0,0.5,22
294,1,0,0.5,26
295,1,0,0.5,26
296,1,0,0.5,26
297,1,0,0.5,26
298,1,0,0.5,26
299,1,0,0.49,29
300,1,0,0.49,29
301,1,0,0.49,29
302,1,0,0.49,29
303,1,0,0.49,29
304,1,0,0.49,26
305,1,0,0.49,26
306,1,0,0.49,26
307,1,0,0.49,26
308,1,0,0.49,26
309,1,0,0.48,28
310,1,0,0.48,28
311,1,0,0.48,28
312,1,0,0.48,28
313,1,0,0.48,28
314,1,0,0.5,31
315,1,0,0.5,31
316,1,0,0.5,31
317,1,0,0.5,31
318,1,0,0.5,31
319,1,0,0.48,34
320,1,0,0.48,34
321,1,0,0.48,34
322,1,0,0.48,34
323,1,0,0.48,34
324,1,0,0.49,34
325,1,0,0.49,34
326,1,0,0.49,34
327,1,0,0.49,34
328,1,0,0.49,34
329,1,0,0.5,36
330,1,0,0.5,36
331,1,0,0.5,36
332,1,0,0.5,36
333,1,0,0.5,36
334,1,0,0.48,34
335,1,0,0.48,34
336,1,0,0.48,34
337,1,0,0.48,34
338,1,0,0.48,34
339,1,0,0.5,38
340,1,0,0.5,38
341,1,0,0.5,38
342,1,0,0.5,38
343,1,0,0.5,38
344,1,0,0.48,26
345,1,0,0.48,26
346,1,0,0.48,26
347,1,0,0.48,26
348,1,0,0.48,26
349,1,0,0.5,35
350,1,0,0.5,35
351,1,0,0.5,35
352,1,0,0.5,35
353,1,0,0.5,35
354,1,0,0.49,28
355,1,0,0.49,28
356,1,0,0.49,28
357,1,0,0.49,28
358,1,0,0.49,28
359,1,0,0.5,25
360,1,0,0.5,25
361,1,0,0.5,25
362,1,0,0.5,25
363,1,0,0.5,25
364,1,0,0.5,29
365,1,0,0.5,29
366,1,0,0.5,29
367,1,0,0.5,29
368,1,0,0.5,29
369,1,0,0.5,6
370,1,0,0.5,6
371,1,0,0.5,6
372,1,0,0.5,6
373,1,0,0.5,6
374,1,0,0.49,3
375,1,0,0.49,3
376,1,0,0.49,3
377,1,0,0.49,3
378,1,0,0.49,3
379,1,0,0.5,14
380,1,0,0.5,14
381,1,0,0.5,14
382,1,0,0.5,14
383,1,0,0.5,14
384,1,0,0.5,0
385,1,0,0.5,0
386,1,0,0.5,0
387,1,0,0.5,0
388,1,0,0.5,0
389,1,0,0.5,0
390,1,0,0.5,0
391,1,0,0.5,0
392,1,0,0.5,0
393,1,0,0.5,0
394,1,0,0.5,0
395,1,0,0.5,0
396,1,0,0.5,0
397,1,0,0.5,0
398,1,0,0.5,0
399,1,0,0.5,0
400,1,0,0.5,0
401,1,0,0.5,0
402,1,0,0.5,0
403,1,0,0.5,0
404,1,0,0.5,0
405,1,0,0.5,0
406,1,0,0.5,0
407,1,0,0.5,0
408,1,0,0.5,0
409,1,0,0.5,0
410,1,0,0.5,0
411,1,0,0.5,0
412,1,0,0.5,0
413,1,0,0.5,0
414,1,0,0.5,0
415,1,0,0.5,0
416,1,0,0.5,0
417,1,0,0.5,0
418,1,0,0.5,0
419,1,0,0.5,0
420,1,0,0.5,0
421,1,0,0.5,0
