time,IPTGpre,aTcpre,IPTG,aTc
0,1,0,0,50
1,1,0,0,50
2,1,0,0,50
3,1,0,0,50
4,1,0,0,50
5,1,0,0,50
6,1,0,0,50
7,1,0,0,50
8,1,0,0,50
9,1,0,0,50
10,1,0,0,50
11,1,0,0,50
12,1,0,0,50
13,1,0,0,50
14,1,0,0,50
15,1,0,0,50
16,1,0,0,50
17,1,0,0,50
18,1,0,0,50
19,1,0,0,50
20,1,0,0,50
21,1,0,0,50
22,1,0,0,50
23,1,0,0,50
24,1,0,0,50
25,1,0,0,50
26,1,0,0,50
27,1,0,0,50
28,1,0,0,50
29,1,0,0,50
30,1,0,0,50
31,1,0,0,50
32,1,0,0,50
33,1,0,0,50
34,1,0,0,50
35,1,0,0,50
36,1,0,0,50
37,1,0,0,50
38,1,0,0,50
39,1,0,0,50
40,1,0,0,50
41,1,0,0,50
42,1,0,0,50
43,1,0,0,50
44,1,0,0,50
45,1,0,0,50
46,1,0,0,50
47,1,0,0,50
48,1,0,0,50
49,1,0,0,50
50,1,0,0,50
51,1,0,0,50
52,1,0,0,50
53,1,0,0,50
54,1,0,0,50
55,1,0,0,50
56,1,0,0,50
57,1,0,0,50
58,1,0,0,50
59,1,0,0,50
60,1,0,0,50
61,1,0,0,50
62,1,0,0,50
63,1,0,0,50
64,1,0,0,45
65,1,0,0,45
66,1,0,0,45
67,1,0,0,45
68,1,0,0,45
69,1,0,0,41
70,1,0,0,41
71,1,0,0,41
72,1,0,0,41
73,1,0,0,41
74,1,0,0,30
75,1,0,0,30
76,1,0,0,30
77,1,0,0,30
78,1,0,0,30
79,1,0,0.38,50
80,1,0,0.38,50
81,1,0,0.38,50
82,1,0,0.38,50
83,1,0,0.38,50
84,1,0,0.38,50
85,1,0,0.38,50
86,1,0,0.38,50
87,1,0,0.38,50
88,1,0,0.38,50
89,1,0,0.17,50
90,1,0,0.17,50
91,1,0,0.17,50
92,1,0,0.17,50
93,1,0,0.17,50
94,1,0,0.01,0
95,1,0,0.01,0
96,1,0,0.01,0
97,1,0,0.01,0
98,1,0,0.01,0
99,1,0,0.09,12
100,1,0,0.09,12
101,1,0,0.09,12
102,1,0,0.09,12
103,1,0,0.09,12
104,1,0,0.04,5
105,1,0,0.04,5
106,1,0,0.04,5
107,1,0,0.04,5
108,1,0,0.04,5
109,1,0,0,0
110,1,0,0,0
111,1,0,0,0
112,1,0,0,0
113,1,0,0,0
114,1,0,0.14,6
115,1,0,0.14,6
116,1,0,0.14,6
117,1,0,0.14,6
118,1,0,0.14,6
119,1,0,0.04,0
120,1,0,0.04,0
121,1,0,0.04,0
122,1,0,0.04,0
123,1,0,0.04,0
124,1,0,0.18,0
125,1,0,0.18,0
126,1,0,0.18,0
127,1,0,0.18,0
128,1,0,0.18,0
129,1,0,0.08,0
130,1,0,0.08,0
131,1,0,0.08,0
132,1,0,0.08,0
133,1,0,0.08,0
134,1,0,0.13,0
135,1,0,0.13,0
136,1,0,0.13,0
137,1,0,0.13,0
138,1,0,0.13,0
139,1,0,0.14,0
140,1,0,0.14,0
141,1,0,0.14,0
142,1,0,0.14,0
143,1,0,0.14,0
144,1,0,0.19,0
145,1,0,0.19,0
146,1,0,0.19,0
147,1,0,0.19,0
148,1,0,0.19,0
149,1,0,0.13,0
150,1,0,0.13,0
151,1,0,0.13,0
152,1,0,0.13,0
153,1,0,0.13,0
154,1,0,0.18,0
155,1,0,0.18,0
156,1,0,0.18,0
157,1,0,0.18,0
158,1,0,0.18,0
159,1,0,0.16,0
160,1,0,0.16,0
161,1,0,0.16,0
162,1,0,0.16,0
163,1,0,0.16,0
164,1,0,0.24,0
165,1,0,0.24,0
166,1,0,0.24,0
167,1,0,0.24,0
168,1,0,0.24,0
169,1,0,0.17,0
170,1,0,0.17,0
171,1,0,0.17,0
172,1,0,0.17,0
173,1,0,0.17,0
174,1,0,0.22,0
175,1,0,0.22,0
176,1,0,0.22,0
177,1,0,0.22,0
178,1,0,0.22,0
179,1,0,0.22,0
180,1,0,0.22,0
181,1,0,0.22,0
182,1,0,0.22,0
183,1,0,0.22,0
184,1,0,0.2,0
185,1,0,0.2,0
186,1,0,0.2,0
187,1,0,0.2,0
188,1,0,0.2,0
189,1,0,0.18,0
190,1,0,0.18,0
191,1,0,0.18,0
192,1,0,0.18,0
193,1,0,0.18,0
194,1,0,0.18,0
195,1,0,0.18,0
196,1,0,0.18,0
197,1,0,0.18,0
198,1,0,0.18,0
199,1,0,0.21,26
200,1,0,0.21,26
201,1,0,0.21,26
202,1,0,0.21,26
203,1,0,0.21,26
204,1,0,0.32,50
205,1,0,0.32,50
206,1,0,0.32,50
207,1,0,0.32,50
208,1,0,0.32,50
209,1,0,0.12,20
210,1,0,0.12,20
211,1,0,0.12,20
212,1,0,0.12,20
213,1,0,0.12,20
214,1,0,0.11,24
215,1,0,0.11,24
216,1,0,0.11,24
217,1,0,0.11,24
218,1,0,0.11,24
219,1,0,0.22,45
220,1,0,0.22,45
221,1,0,0.22,45
222,1,0,0.22,45
223,1,0,0.22,45
224,1,0,0.05,14
225,1,0,0.05,14
226,1,0,0.05,14
227,1,0,0.05,14
228,1,0,0.05,14
229,1,0,0.14,35
230,1,0,0.14,35
231,1,0,0.14,35
232,1,0,0.14,35
233,1,0,0.14,35
234,1,0,0.29,50
235,1,0,0.29,50
236,1,0,0.29,50
237,1,0,0.29,50
238,1,0,0.29,50
239,1,0,0.11,42
240,1,0,0.11,42
241,1,0,0.11,42
242,1,0,0.11,42
243,1,0,0.11,42
244,1,0,0.17,50
245,1,0,0.17,50
246,1,0,0.17,50
247,1,0,0.17,50
248,1,0,0.17,50
249,1,0,0.15,46
250,1,0,0.15,46
251,1,0,0.15,46
252,1,0,0.15,46
253,1,0,0.15,46
254,1,0,0.15,36
255,1,0,0.15,36
256,1,0,0.15,36
257,1,0,0.15,36
258,1,0,0.15,36
259,1,0,0.19,39
260,1,0,0.19,39
261,1,0,0.19,39
262,1,0,0.19,39
263,1,0,0.19,39
